date,state,total_enrollments,male_enrollments,female_enrollments,child_enrollments,adult_enrollments,senior_enrollments,center_type
2023-01-01,Andhra Pradesh,421,212,208,105,231,84,Permanent
2023-01-01,Arunachal Pradesh,267,128,138,66,147,53,Temporary
2023-01-01,Assam,604,294,309,151,332,120,Permanent
2023-01-01,Bihar,459,231,227,114,252,91,Permanent
2023-01-01,Chhattisgarh,331,169,162,82,182,66,Permanent
2023-01-01,Goa,463,233,229,115,254,92,Permanent
2023-01-01,Gujarat,224,108,115,56,123,44,Permanent
2023-01-01,Haryana,392,188,203,98,215,78,Temporary
2023-01-01,Himachal Pradesh,326,163,163,81,179,65,Permanent
2023-01-01,Jharkhand,305,153,151,76,167,61,Temporary
2023-01-01,Karnataka,217,107,110,54,119,43,Permanent
2023-01-01,Kerala,342,168,174,85,188,68,Permanent
2023-01-01,Madhya Pradesh,266,138,128,66,146,53,Temporary
2023-01-01,Maharashtra,295,150,144,73,162,59,Permanent
2023-01-01,Manipur,350,176,173,87,192,70,Permanent
2023-01-01,Meghalaya,208,106,102,52,114,41,Permanent
2023-01-01,Mizoram,656,333,322,164,361,131,Temporary
2023-01-01,Nagaland,501,251,250,125,275,100,Permanent
2023-01-01,Odisha,180,91,89,45,99,36,Permanent
2023-01-01,Punjab,486,241,244,121,267,97,Temporary
2023-01-01,Rajasthan,279,136,143,69,153,55,Temporary
2023-01-01,Sikkim,627,321,306,156,345,125,Permanent
2023-01-01,Tamil Nadu,664,342,321,166,365,132,Permanent
2023-01-01,Telangana,230,118,112,57,126,46,Temporary
2023-01-01,Tripura,184,90,94,46,101,36,Permanent
2023-01-01,Uttar Pradesh,396,198,197,99,218,79,Temporary
2023-01-01,Uttarakhand,363,178,184,90,199,72,Permanent
2023-01-01,West Bengal,202,97,104,50,111,40,Permanent
2023-01-01,Delhi,646,322,323,161,355,129,Temporary
2023-01-01,Jammu and Kashmir,317,155,162,79,174,63,Temporary
2023-01-02,Andhra Pradesh,642,322,320,160,353,128,Permanent
2023-01-02,Arunachal Pradesh,1026,494,532,256,564,205,Permanent
2023-01-02,Assam,875,426,449,218,481,175,Permanent
2023-01-02,Bihar,705,348,357,176,387,141,Permanent
2023-01-02,Chhattisgarh,1200,607,592,300,660,240,Temporary
2023-01-02,Goa,802,388,414,200,441,160,Temporary
2023-01-02,Gujarat,1130,558,571,282,621,226,Temporary
2023-01-02,Haryana,1178,595,582,294,648,235,Permanent
2023-01-02,Himachal Pradesh,475,228,247,118,261,95,Permanent
2023-01-02,Jharkhand,902,456,445,225,496,180,Permanent
2023-01-02,Karnataka,907,462,444,226,498,181,Permanent
2023-01-02,Kerala,1085,525,560,271,597,217,Permanent
2023-01-02,Madhya Pradesh,531,268,262,132,292,106,Temporary
2023-01-02,Maharashtra,759,370,389,189,417,151,Temporary
2023-01-02,Manipur,543,281,262,135,299,108,Permanent
2023-01-02,Meghalaya,1137,584,552,284,625,227,Permanent
2023-01-02,Mizoram,456,231,224,114,250,91,Permanent
2023-01-02,Nagaland,365,188,177,91,201,73,Temporary
2023-01-02,Odisha,951,467,483,237,523,190,Temporary
2023-01-02,Punjab,1031,527,503,257,567,206,Permanent
2023-01-02,Rajasthan,970,479,491,242,533,194,Permanent
2023-01-02,Sikkim,388,193,194,97,213,77,Permanent
2023-01-02,Tamil Nadu,564,271,292,141,310,112,Temporary
2023-01-02,Telangana,586,299,287,146,322,117,Permanent
2023-01-02,Tripura,796,399,397,199,438,159,Permanent
2023-01-02,Uttar Pradesh,875,448,427,218,481,175,Permanent
2023-01-02,Uttarakhand,640,332,308,160,352,128,Temporary
2023-01-02,West Bengal,915,445,470,228,503,183,Permanent
2023-01-02,Delhi,816,401,415,204,449,163,Temporary
2023-01-02,Jammu and Kashmir,969,481,488,242,533,193,Permanent
2023-01-03,Andhra Pradesh,642,311,331,160,353,128,Permanent
2023-01-03,Arunachal Pradesh,354,177,177,88,195,70,Permanent
2023-01-03,Assam,739,367,371,184,406,147,Permanent
2023-01-03,Bihar,869,430,439,217,478,173,Permanent
2023-01-03,Chhattisgarh,793,386,407,198,436,158,Permanent
2023-01-03,Goa,957,474,482,239,526,191,Permanent
2023-01-03,Gujarat,716,355,361,179,394,143,Temporary
2023-01-03,Haryana,1065,515,549,266,586,213,Permanent
2023-01-03,Himachal Pradesh,394,194,199,98,216,78,Temporary
2023-01-03,Jharkhand,335,162,172,83,184,67,Permanent
2023-01-03,Karnataka,918,470,447,229,504,183,Permanent
2023-01-03,Kerala,475,246,228,118,261,95,Permanent
2023-01-03,Madhya Pradesh,658,340,318,164,362,131,Temporary
2023-01-03,Maharashtra,709,343,365,177,390,141,Temporary
2023-01-03,Manipur,790,407,382,197,435,158,Permanent
2023-01-03,Meghalaya,331,163,168,82,182,66,Temporary
2023-01-03,Mizoram,1167,581,585,291,641,233,Permanent
2023-01-03,Nagaland,608,311,297,152,334,121,Temporary
2023-01-03,Odisha,382,191,190,95,210,76,Permanent
2023-01-03,Punjab,1076,523,553,269,592,215,Temporary
2023-01-03,Rajasthan,798,405,392,199,438,159,Permanent
2023-01-03,Sikkim,1068,516,552,267,587,213,Temporary
2023-01-03,Tamil Nadu,626,324,302,156,344,125,Temporary
2023-01-03,Telangana,962,491,470,240,529,192,Permanent
2023-01-03,Tripura,729,364,364,182,401,145,Permanent
2023-01-03,Uttar Pradesh,653,316,336,163,359,130,Permanent
2023-01-03,Uttarakhand,981,485,495,245,539,196,Permanent
2023-01-03,West Bengal,995,516,478,248,547,199,Permanent
2023-01-03,Delhi,888,449,439,222,488,177,Permanent
2023-01-03,Jammu and Kashmir,991,513,477,247,545,198,Temporary
2023-01-04,Andhra Pradesh,721,351,369,180,396,144,Permanent
2023-01-04,Arunachal Pradesh,624,323,300,156,343,124,Temporary
2023-01-04,Assam,932,477,454,233,512,186,Permanent
2023-01-04,Bihar,478,247,230,119,263,95,Temporary
2023-01-04,Chhattisgarh,843,434,409,210,463,168,Permanent
2023-01-04,Goa,318,165,153,79,175,63,Permanent
2023-01-04,Gujarat,821,421,399,205,451,164,Temporary
2023-01-04,Haryana,713,343,369,178,392,142,Temporary
2023-01-04,Himachal Pradesh,1037,537,500,259,570,207,Temporary
2023-01-04,Jharkhand,519,269,250,129,285,103,Permanent
2023-01-04,Karnataka,516,255,261,129,284,103,Permanent
2023-01-04,Kerala,906,453,452,226,498,181,Temporary
2023-01-04,Madhya Pradesh,803,398,404,200,441,160,Permanent
2023-01-04,Maharashtra,336,171,165,84,185,67,Permanent
2023-01-04,Manipur,427,212,214,106,235,85,Temporary
2023-01-04,Meghalaya,614,304,309,153,338,122,Permanent
2023-01-04,Mizoram,1183,612,571,295,651,236,Permanent
2023-01-04,Nagaland,529,264,264,132,291,105,Permanent
2023-01-04,Odisha,838,406,431,209,461,167,Permanent
2023-01-04,Punjab,412,200,211,103,226,82,Permanent
2023-01-04,Rajasthan,1102,536,565,275,606,220,Permanent
2023-01-04,Sikkim,320,156,164,80,176,64,Permanent
2023-01-04,Tamil Nadu,406,200,205,101,223,81,Permanent
2023-01-04,Telangana,936,482,454,234,514,187,Temporary
2023-01-04,Tripura,344,175,168,86,189,68,Permanent
2023-01-04,Uttar Pradesh,480,242,238,120,264,96,Permanent
2023-01-04,Uttarakhand,740,362,377,185,407,148,Temporary
2023-01-04,West Bengal,1107,536,571,276,609,221,Permanent
2023-01-04,Delhi,751,371,379,187,413,150,Permanent
2023-01-04,Jammu and Kashmir,566,274,291,141,311,113,Temporary
2023-01-05,Andhra Pradesh,854,427,427,213,469,170,Permanent
2023-01-05,Arunachal Pradesh,791,393,397,197,435,158,Permanent
2023-01-05,Assam,545,274,271,136,299,109,Permanent
2023-01-05,Bihar,1204,583,621,301,662,240,Permanent
2023-01-05,Chhattisgarh,495,243,251,123,272,99,Permanent
2023-01-05,Goa,1020,506,514,255,561,204,Temporary
2023-01-05,Gujarat,395,203,191,98,217,79,Temporary
2023-01-05,Haryana,506,261,244,126,278,101,Permanent
2023-01-05,Himachal Pradesh,790,385,404,197,434,158,Permanent
2023-01-05,Jharkhand,682,330,351,170,375,136,Permanent
2023-01-05,Karnataka,565,282,283,141,310,113,Permanent
2023-01-05,Kerala,339,163,175,84,186,67,Temporary
2023-01-05,Madhya Pradesh,616,312,303,154,338,123,Temporary
2023-01-05,Maharashtra,832,411,421,208,458,166,Temporary
2023-01-05,Manipur,1179,600,578,294,648,235,Temporary
2023-01-05,Meghalaya,423,212,210,105,232,84,Temporary
2023-01-05,Mizoram,443,215,227,110,244,88,Permanent
2023-01-05,Nagaland,1055,521,533,263,580,211,Temporary
2023-01-05,Odisha,683,338,344,170,375,136,Permanent
2023-01-05,Punjab,590,289,301,147,324,118,Temporary
2023-01-05,Rajasthan,649,327,321,162,357,129,Permanent
2023-01-05,Sikkim,1164,565,598,291,640,232,Temporary
2023-01-05,Tamil Nadu,861,440,420,215,473,172,Permanent
2023-01-05,Telangana,560,269,290,140,308,112,Permanent
2023-01-05,Tripura,1045,536,509,261,574,209,Permanent
2023-01-05,Uttar Pradesh,1000,512,488,250,550,200,Permanent
2023-01-05,Uttarakhand,521,263,257,130,286,104,Permanent
2023-01-05,West Bengal,761,371,390,190,418,152,Temporary
2023-01-05,Delhi,815,422,392,203,448,163,Permanent
2023-01-05,Jammu and Kashmir,827,397,429,206,455,165,Temporary
2023-01-06,Andhra Pradesh,1148,593,554,287,631,229,Temporary
2023-01-06,Arunachal Pradesh,441,219,222,110,242,88,Temporary
2023-01-06,Assam,1232,597,635,308,677,246,Temporary
